Category,DistrictType,District,Office,County,RaceName_original,AppStatus
county_office,county,8,Recorder,Emery,Recorder,NEEDS county DistrictType wired
county_office,county,8,Treasurer,Emery,Treasurer,NEEDS county DistrictType wired
county_office,county,8,Attorney,Emery,Attorney,NEEDS county DistrictType wired
local_school_board,school_district,8,Emery County School District #4,Emery,Emery County School District #4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,8,Clerk/Auditor,Emery,Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,8,Commissioner B,Emery,Commissioner B,NEEDS county DistrictType wired
county_office,county,8,Commissioner A,Emery,Commissioner A,NEEDS county DistrictType wired
county_office,county,8,Sheriff,Emery,Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,9,Garfield County School Board #4,Garfield,Garfield County School Board #4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,9,Garfield County School Board #5,Garfield,Garfield County School Board #5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,9,Garfield County Sheriff,Garfield,Garfield County Sheriff,NEEDS county DistrictType wired
county_office,county,9,Garfield County Commission Seat B,Garfield,Garfield County Commission Seat B,NEEDS county DistrictType wired
county_office,county,9,Garfield County Commission Seat A,Garfield,Garfield County Commission Seat A,NEEDS county DistrictType wired
county_office,county,9,Garfield County Clerk/Auditor,Garfield,Garfield County Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,9,Garfield County Attorney,Garfield,Garfield County Attorney,NEEDS county DistrictType wired
county_office,county,10,Grand County Commission District 4,Grand,Grand County Commission District 4,NEEDS county DistrictType wired
local_school_board,school_district,10,Grand County School Board District 5,Grand,Grand County School Board District 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
special_district,,,Moab Valley Fire District,Grand,Moab Valley Fire District,EXCLUDE — no address-resolvable geography
county_office,county,10,Grand County Commission At-Large,Grand,Grand County Commission At-Large,NEEDS county DistrictType wired
local_school_board,school_district,10,Grand County School Board District 1,Grand,Grand County School Board District 1,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,10,Grand County Sheriff,Grand,Grand County Sheriff,NEEDS county DistrictType wired
county_office,county,10,Grand County Clerk/Auditor,Grand,Grand County Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,10,Grand County Attorney,Grand,Grand County Attorney,NEEDS county DistrictType wired
county_office,county,10,Grand County Commission District 5,Grand,Grand County Commission District 5,NEEDS county DistrictType wired
special_district,,,Spanish Valley Water and Sewer Improvement District,Grand,Spanish Valley Water and Sewer Improvement District,EXCLUDE — no address-resolvable geography
local_school_board,school_district,11,5th Local School Board District 5,Iron,5th Local School Board District 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,11,4th Local School Board District 4,Iron,4th Local School Board District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,11,County Sheriff,Iron,County Sheriff,NEEDS county DistrictType wired
county_office,county,11,County Commissioner B,Iron,County Commissioner B,NEEDS county DistrictType wired
local_school_board,school_district,11,7th Local School Board District 7,Iron,7th Local School Board District 7,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,11,County Attorney,Iron,County Attorney,NEEDS county DistrictType wired
county_office,county,11,County Clerk,Iron,County Clerk,NEEDS county DistrictType wired
county_office,county,11,County Commissioner A,Iron,County Commissioner A,NEEDS county DistrictType wired
local_school_board,school_district,11,6th Local School Board District 6,Iron,6th Local School Board District 6,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,11,County Auditor,Iron,County Auditor,NEEDS county DistrictType wired
county_office,county,12,County Attorney,Juab,County Attorney,NEEDS county DistrictType wired
county_office,county,12,County Clerk/Auditor,Juab,County Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,12,County Commissioner Seat A,Juab,County Commissioner Seat A,NEEDS county DistrictType wired
county_office,county,12,County Commissioner Seat B,Juab,County Commissioner Seat B,NEEDS county DistrictType wired
county_office,county,12,County Sheriff,Juab,County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,12,Juab School District 4,Juab,Juab School District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,12,Juab School District 5,Juab,Juab School District 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,12,Tintic School District 4,Juab,Tintic School District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,12,Tintic School District 5,Juab,Tintic School District 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,13,Kane County Commissioner Seat A,Kane,Kane County Commissioner Seat A,NEEDS county DistrictType wired
county_office,county,13,Kane County Commissioner Seat B,Kane,Kane County Commissioner Seat B,NEEDS county DistrictType wired
county_office,county,13,Kane County Attorney,Kane,Kane County Attorney,NEEDS county DistrictType wired
county_office,county,13,Kane County Clerk/Auditor,Kane,Kane County Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,13,Kane County Sheriff,Kane,Kane County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,13,Kane County School Board Seat 4,Kane,Kane County School Board Seat 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,13,Kane County School Board Seat 5,Kane,Kane County School Board Seat 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
special_district,,,Vermillion Cliffs SSD,Kane,Vermillion Cliffs SSD,EXCLUDE — no address-resolvable geography
county_office,county,14,Commission Seat A,Millard,Commission Seat A,NEEDS county DistrictType wired
county_office,county,14,Commission Seat B,Millard,Commission Seat B,NEEDS county DistrictType wired
county_office,county,14,County Assessor 2 Year,Millard,County Assessor 2 Year,NEEDS county DistrictType wired
county_office,county,14,County Attorney,Millard,County Attorney,NEEDS county DistrictType wired
county_office,county,14,County Auditor,Millard,County Auditor,NEEDS county DistrictType wired
county_office,county,14,County Clerk,Millard,County Clerk,NEEDS county DistrictType wired
county_office,county,14,County Sheriff,Millard,County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,14,Millard School Board District 4,Millard,Millard School Board District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,14,Millard School Board District 5,Millard,Millard School Board District 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,15,Morgan County Commissioin at Large A,Morgan,Morgan County Commissioin at Large A,NEEDS county DistrictType wired
county_office,county,15,Morgan County Commission at Large B,Morgan,Morgan County Commission at Large B,NEEDS county DistrictType wired
county_office,county,15,Morgan County Attorney,Morgan,Morgan County Attorney,NEEDS county DistrictType wired
county_office,county,15,Morgan County Clerk/Auditor,Morgan,Morgan County Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,15,Morgan County Sheriff,Morgan,Morgan County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,15,Morga School Board District#2,Morgan,Morga School Board District#2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,15,Morgan School Board District #4,Morgan,Morgan School Board District #4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,16,County Clerk/Auditor,Piute,County Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,16,County Attorney,Piute,County Attorney,NEEDS county DistrictType wired
county_office,county,16,County Commissioner A,Piute,County Commissioner A,NEEDS county DistrictType wired
county_office,county,16,County Commissioner B,Piute,County Commissioner B,NEEDS county DistrictType wired
county_office,county,16,County Sheriff,Piute,County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,16,Piute County School District 1,Piute,Piute County School District 1,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,16,Piute County School District 2,Piute,Piute County School District 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,16,Piute County School District 3,Piute,Piute County School District 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,17,Rich County Commissioner Seat A,Rich,Rich County Commissioner Seat A,NEEDS county DistrictType wired
county_office,county,17,Rich County Commissioner Seat B,Rich,Rich County Commissioner Seat B,NEEDS county DistrictType wired
county_office,county,17,Rich County Sheriff,Rich,Rich County Sheriff,NEEDS county DistrictType wired
county_office,county,17,Rich County Clerk/Auditor,Rich,Rich County Clerk/Auditor,NEEDS county DistrictType wired
local_school_board,school_district,17,Rich County School Board # 3,Rich,Rich County School Board # 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,17,Rich County School Board # 4,Rich,Rich County School Board # 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
judicial,,,Shall PAUL CURTIS FARR be retained in the office of Justice Court Judge of the Alta Municipal Justice Court?,Salt Lake,Shall PAUL CURTIS FARR be retained in the office of Justice Court Judge of the Alta Municipal Justice Court?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall AUGUSTUS GRIFFITH CHIN be retained in the office of Justice Court Judge of the Holladay Municipal Justice Court?,Salt Lake,Shall AUGUSTUS GRIFFITH CHIN be retained in the office of Justice Court Judge of the Holladay Municipal Justice Court?,"EXCLUDE — retention Y/N, not a candidate race"
county_office,county,18,County Council At-Large A,Salt Lake,County Council At-Large A,NEEDS county DistrictType wired
county_office,county,18,County Council District 1,Salt Lake,County Council District 1,NEEDS county DistrictType wired
county_office,county,18,County Council District 3,Salt Lake,County Council District 3,NEEDS county DistrictType wired
county_office,county,18,County Council District 5,Salt Lake,County Council District 5,NEEDS county DistrictType wired
county_office,county,18,County Auditor,Salt Lake,County Auditor,NEEDS county DistrictType wired
county_office,county,18,County Clerk,Salt Lake,County Clerk,NEEDS county DistrictType wired
county_office,county,18,County District Attorney,Salt Lake,County District Attorney,NEEDS county DistrictType wired
county_office,county,18,County Sheriff,Salt Lake,County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,18,Canyons School Board District 2,Salt Lake,Canyons School Board District 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Canyons School Board District 4,Salt Lake,Canyons School Board District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Canyons School Board District 5,Salt Lake,Canyons School Board District 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Canyons School Board District 6,Salt Lake,Canyons School Board District 6,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Granite School Board District 3,Salt Lake,Granite School Board District 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Granite School Board District 5,Salt Lake,Granite School Board District 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Granite School Board District 6,Salt Lake,Granite School Board District 6,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Granite School Board District 7,Salt Lake,Granite School Board District 7,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Jordan School Board District 2,Salt Lake,Jordan School Board District 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Jordan School Board District 3,Salt Lake,Jordan School Board District 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Jordan School Board District 7,Salt Lake,Jordan School Board District 7,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Murray School Board District 2,Salt Lake,Murray School Board District 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Murray School Board District 3,Salt Lake,Murray School Board District 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Murray School Board District 4,Salt Lake,Murray School Board District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Salt Lake School Board District 5 (2 Year Term),Salt Lake,Salt Lake School Board District 5 (2 Year Term),"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Salt Lake School Board District 3,Salt Lake,Salt Lake School Board District 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Salt Lake School Board District 4,Salt Lake,Salt Lake School Board District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,18,Salt Lake School Board District 6,Salt Lake,Salt Lake School Board District 6,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
special_district,,,White City Water Improvement District Trustee At-Large,Salt Lake,White City Water Improvement District Trustee At-Large,EXCLUDE — no address-resolvable geography
special_district,,,Magna Water District Trustee At-Large,Salt Lake,Magna Water District Trustee At-Large,EXCLUDE — no address-resolvable geography
