Category,DistrictType,District,Office,County,RaceName_original,AppStatus
county_office,county,26,County Council Seat F,Wasatch,County Council Seat F,NEEDS county DistrictType wired
county_office,county,26,County Attorney,Wasatch,County Attorney,NEEDS county DistrictType wired
county_office,county,26,County Clerk/Auditor,Wasatch,County Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,26,County Sheriff,Wasatch,County Sheriff,NEEDS county DistrictType wired
county_office,county,27,County Commission Seat A,Washington,County Commission Seat A,NEEDS county DistrictType wired
county_office,county,27,County Commission Seat B,Washington,County Commission Seat B,NEEDS county DistrictType wired
county_office,county,27,County Attorney,Washington,County Attorney,NEEDS county DistrictType wired
county_office,county,27,County Clerk/Auditor,Washington,County Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,27,County Sheriff,Washington,County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,27,Local School Board 4,Washington,Local School Board 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,27,Local School Board 5,Washington,Local School Board 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,27,Local School Board 6,Washington,Local School Board 6,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,27,Local School Board 7,Washington,Local School Board 7,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,28,School Board,Wayne,School Board,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,28,County Commissioner Seat B,Wayne,County Commissioner Seat B,NEEDS county DistrictType wired
county_office,county,28,County Commissioner Seat A,Wayne,County Commissioner Seat A,NEEDS county DistrictType wired
county_office,county,28,County Attorney,Wayne,County Attorney,NEEDS county DistrictType wired
county_office,county,28,County Clerk/Auditor,Wayne,County Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,28,County Sheriff,Wayne,County Sheriff,NEEDS county DistrictType wired
county_office,county,28,Justice of the Peace,Wayne,Justice of the Peace,NEEDS county DistrictType wired
local_school_board,school_district,28,School Board,Wayne,School Board,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,29,County Commissioner A,Weber,County Commissioner A,NEEDS county DistrictType wired
county_office,county,29,County Commissioner B,Weber,County Commissioner B,NEEDS county DistrictType wired
county_office,county,29,County Assessor,Weber,County Assessor,NEEDS county DistrictType wired
county_office,county,29,County Attorney,Weber,County Attorney,NEEDS county DistrictType wired
county_office,county,29,County Clerk/Auditor,Weber,County Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,29,County Sheriff,Weber,County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,29,Ogden School Board District 2,Weber,Ogden School Board District 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,29,Ogden School Board District 4,Weber,Ogden School Board District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,29,Ogden School Board District 7,Weber,Ogden School Board District 7,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,29,Ogden School Board District 6,Weber,Ogden School Board District 6,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,29,Weber School Board District 1,Weber,Weber School Board District 1,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,29,Weber School Board District 2,Weber,Weber School Board District 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,29,Weber School Board District 3,Weber,Weber School Board District 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,29,Weber School Board District 6,Weber,Weber School Board District 6,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
judicial,,,Shall XXX be retained in the office of Justice Court Judge of Farr West City?,Weber,Shall XXX be retained in the office of Justice Court Judge of Farr West City?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall XXX be retained in the office of Justice Court Judge of North Ogden City?,Weber,Shall XXX be retained in the office of Justice Court Judge of North Ogden City?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall XXX be retained in the office of Justice Court Judge of Pleasant Viewt City?,Weber,Shall XXX be retained in the office of Justice Court Judge of Pleasant Viewt City?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall XXX be retained in the office of Justice Court Judge of Washington Terracet City?,Weber,Shall XXX be retained in the office of Justice Court Judge of Washington Terracet City?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall XXX be retained in the office of Justice Court Judge of Uintah-Huntsville City?,Weber,Shall XXX be retained in the office of Justice Court Judge of Uintah-Huntsville City?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall XXX be retained in the office of Justice Court Judge of Ogden City?,Weber,Shall XXX be retained in the office of Justice Court Judge of Ogden City?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall XXX be retained in the office of Justice Court Judge of Ogden City?,Weber,Shall XXX be retained in the office of Justice Court Judge of Ogden City?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall XXX be retained in the office of Justice Court Judge of Plain City?,Weber,Shall XXX be retained in the office of Justice Court Judge of Plain City?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall XXX be retained in the office of Justice Court Judge of Roy City?,Weber,Shall XXX be retained in the office of Justice Court Judge of Roy City?,"EXCLUDE — retention Y/N, not a candidate race"
